id1	id2	type
707016	CBX8	UBE2C	PPI
707469	CBX4	UBE2C	PPI
708233	ERBB2	RPS27A	PPI
708243	EGFR	ERBB2	PPI
708275	ERBB2	TFF2	PPI
708276	ERBB2	TFF1	PPI
708292	ERBB2	MEMO1	PPI
708294	ERBB2	TGFA	PPI
708337	ERBB2	UBB	PPI
708343	ADRB2	ERBB2	PPI
708349	ERBB2	RND1	PPI
708423	ERBB2	S100A16	PPI
708468	ERBB2	ERBB4	PPI
708474	ERBB2	RNF41	PPI
708514	ERBB2	PLXNB1	PPI
708527	ERBB2	NRG2	PPI
708548	ARHGEF11	ERBB2	PPI
708555	ERBB2	IL6R	PPI
708605	ERBB2	NRG3	PPI
708661	ERBB2	ERRFI1	PPI
708696	ERBB2	GRB2	PPI
708719	ERBB2	NRG4	PPI
708727	ERBB2	MATK	PPI
708730	BTC	ERBB2	PPI
708740	AREG	ERBB2	PPI
708757	ARHGEF12	ERBB2	PPI
708759	DIAPH1	ERBB2	PPI
708777	ERBB2	NRG1	PPI
708789	ERBB2	IL6	PPI
708794	ERBB2	SOS1	PPI
708797	ERBB2	UBA52	PPI
708820	CD44	ERBB2	PPI
708822	ERBB2	RHOA	PPI
708826	ERBB2	SHC1	PPI
708838	ERBB2	GRB7	PPI
708849	ERBB2	SEMA4D	PPI
708875	ERBB2	ERBIN	PPI
708882	ERBB2	PIK3R1	PPI
708888	ERBB2	TFF3	PPI
708909	ERBB2	UBC	PPI
708915	ERBB2	PTK6	PPI
711901	EGFR	SH3GL1	PPI
714839	CBLC	EGFR	PPI
721435	EGFR	FNBP1L	PPI
723943	DYNC1LI1	NUF2	PPI
723951	CENPC	NUF2	PPI
723966	CDCA5	NUF2	PPI
723974	CENPU	NUF2	PPI
723982	NUF2	SPC25	PPI
723990	CENPH	NUF2	PPI
723998	NUF2	RANBP2	PPI
724006	NUF2	SKA1	PPI
724034	BUB1B	NUF2	PPI
724043	MAD2L1	NUF2	PPI
724049	NUF2	RAD21	PPI
724055	NUF2	WAPL	PPI
724063	NUF2	PLK1	PPI
724080	BIRC5	NUF2	PPI
724088	BUB1	NUF2	PPI
724102	NUF2	PDS5A	PPI
724118	CENPS-CORT	NUF2	PPI
724126	NUF2	PPP2R1B	PPI
724134	NUF2	ZWILCH	PPI
724140	NUF2	PDS5B	PPI
724148	AURKB	NUF2	PPI
724156	NUDC	NUF2	PPI
724164	DYNC1I1	NUF2	PPI
724170	NUF2	SMC1A	PPI
724178	NUF2	PPP2R1A	PPI
724195	KNTC1	NUF2	PPI
724209	NUF2	SKA2	PPI
724217	NDEL1	NUF2	PPI
724225	ERCC6L	NUF2	PPI
724233	KNL1	NUF2	PPI
724241	CENPA	NUF2	PPI
